Måned,Gjennomsnittlig last (MW)
Januar,19881.14478494624
Februar,19411.15693452381
Mars,17029.561914954338
April,15084.974767361111
Mai,13551.68354502688
Juni,12772.582027777778
Juli,12119.086579301074
August,12982.595561155915
September,13420.388784722223
Oktober,15197.09095766129
November,17609.055159722222
Desember,18153.671893710056
