STARTTID;SLUTTID;PRISOMRÅDE;FORBRUKSGRUPPE;VOLUM_KWH;ANTALL_MÅLEPUNKT
2026-09-13T01:00:00+02:00;2026-09-13T02:00:00+02:00;NO5;Tertiære Tjenester;194275,009;27954
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO1;Hytter og fritidseiendommer;59315,425;110801
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO1;Husholdning;1068207,081;1122291
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO1;Primær Industri;30327,459;7482
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO1;Sekundær Industri;455048,166;15107
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO1;Tertiære Tjenester;752118,200;96213
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO2;Hytter og fritidseiendommer;49919,963;106610
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO2;Husholdning;669424,674;634331
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO2;Primær Industri;68109,048;5761
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO2;Sekundær Industri;2062867,042;12574
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO2;Tertiære Tjenester;429265,055;70977
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO3;Hytter og fritidseiendommer;33784,568;62802
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO3;Husholdning;489956,740;412172
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO3;Primær Industri;81696,015;10290
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO3;Sekundær Industri;1631651,698;9243
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO3;Tertiære Tjenester;367590,914;52404
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO4;Hytter og fritidseiendommer;26577,521;44167
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO4;Husholdning;315782,863;245817
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO4;Primær Industri;58695,436;3977
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO4;Sekundær Industri;1114396,745;6125
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO4;Tertiære Tjenester;297144,463;40302
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO5;Hytter og fritidseiendommer;30591,013;48405
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO5;Husholdning;294092,046;260411
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO5;Primær Industri;11903,061;1953
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO5;Sekundær Industri;1053834,347;5019
2026-09-13T02:00:00+02:00;2026-09-13T03:00:00+02:00;NO5;Tertiære Tjenester;193424,537;27954
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO1;Hytter og fritidseiendommer;58516,426;110801
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO1;Husholdning;1021654,510;1122291
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO1;Primær Industri;32499,041;7482
2026-09-13T03:00:00+02:00;2026-09-13T04:00:00+02:00;NO1;Sekundær Industri;452960,721;15107
